11:49:18  |  Platform  |  Info  |  * Initialise: RenderManager  |  ..\..\..\..\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreRenderManager.cpp  |  75
11:49:18  |  Platform  |  Info  |  RenderManager successfully initialized  |  ..\..\..\..\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreRenderManager.cpp  |  109
11:49:18  |  Platform  |  Info  |  * Initialise: DataManager  |  ..\..\..\..\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreDataManager.cpp  |  27
11:49:18  |  Platform  |  Info  |  DataManager successfully initialized  |  ..\..\..\..\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreDataManager.cpp  |  35
11:49:18  |  Core  |  Info  |  * Initialise: Gui  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Gui.cpp  |  63
11:49:18  |  Core  |  Info  |  * MyGUI version 3.2.3  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Gui.cpp  |  68
11:49:18  |  Core  |  Info  |  * Initialise: ResourceManager  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  32
11:49:18  |  Core  |  Info  |  ResourceManager successfully initialized  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  40
11:49:18  |  Core  |  Info  |  * Initialise: LayerManager  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  33
11:49:18  |  Core  |  Info  |  LayerManager successfully initialized  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  41
11:49:18  |  Core  |  Info  |  * Initialise: WidgetManager  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  56
11:49:18  |  Core  |  Info  |  WidgetManager successfully initialized  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  90
11:49:18  |  Core  |  Info  |  * Initialise: InputManager  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_InputManager.cpp  |  46
11:49:18  |  Core  |  Info  |  InputManager successfully initialized  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_InputManager.cpp  |  66
11:49:18  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  36
11:49:18  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  56
11:49:18  |  Core  |  Info  |  * Initialise: SkinManager  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  36
11:49:18  |  Core  |  Info  |  SkinManager successfully initialized  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  46
11:49:18  |  Core  |  Info  |  * Initialise: FontManager  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_FontManager.cpp  |  32
11:49:18  |  Core  |  Info  |  FontManager successfully initialized  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_FontManager.cpp  |  42
